"Date","Clôture","Plus bas","Plus haut","Ouv","Volume Titres","Volume FCFA","Variation %"
"21/11/2025","38,000","38,000","38,295","38,295","0,04K","1,44M","-0,78%"
"20/11/2025","38,300","38,300","38,305","38,305","0,01K","306,40K","-0,01%"
"19/11/2025","38,305","38,305","38,305","38,305","0,00K","38,30K","7,49%"
"18/11/2025","35,635","35,635","35,635","35,635","0,01K","178,18K","7,50%"
"17/11/2025","33,150","32,000","33,150","32,000","0,01K","198,90K","7,49%"
"14/11/2025","30,840","30,840","30,840","30,840","0,01K","185,04K","7,49%"
"13/11/2025","28,690","26,700","28,690","26,700","0,01K","344,28K","7,49%"
"12/11/2025","26,690","26,690","26,690","26,690","0,00K","26,69K","7,49%"
"11/11/2025","24,830","24,830","24,830","24,830","0,00K","24,83K","7,49%"
"10/11/2025","23,100","23,020","23,100","23,020","0,00K","92,40K","0,35%"
"07/11/2025","23,020","23,020","23,020","23,020","0,00K","0,00K","0,07%"
"06/11/2025","23,005","23,005","23,005","23,005","0,01K","161,03K","0,02%"
