Date,Cl�ture,Plus bas,Plus haut,Ouv.,Volume Titres,Volume FCFA,Variation %,a
01/12/2025,1355,25425,25600,1390,1.67K,42.62M,0,69%
28/11/2025,1395,1370,1395,1370,1.46K,2.04M,2,20%
27/11/2025,1365,1365,1365,1365,5.50K,7.50M,0,00%
26/11/2025,1365,1365,1395,1395,2.35K,3.20M,-2,15%
25/11/2025,1395,1365,1395,1365,9.03K,12.60M,2,20%
24/11/2025,1365,1365,1400,1400,1.67K,2.28M,-2,85%
21/11/2025,1405,1405,1405,1405,0.19K,0.27M,0,00%
20/11/2025,1405,1405,1405,1405,2.96K,4.15M,-0,35%
19/11/2025,1410,1410,1430,1430,2.17K,3.06M,0,00%
18/11/2025,1410,1410,1450,1450,3.23K,4.55M,-2,76%
17/11/2025,1450,1450,1485,1485,1.11K,1.61M,-0,68%
